id,date,score,target
280,2020-03-06,439,1
281,2020-03-08,477,1
282,2020-01-13,379,1
283,2020-03-17,501,1
284,2020-03-11,380,1
285,2020-03-07,487,1
286,2020-01-24,462,1
287,2020-02-13,489,1
288,2020-01-16,487,1
289,2020-01-05,456,1
290,2020-02-19,407,1
291,2020-02-21,535,1
292,2020-02-02,469,1
293,2020-01-06,484,1
294,2020-02-28,463,1
295,2020-01-09,456,1
296,2020-03-08,496,1
297,2020-03-26,533,1
298,2020-02-16,474,1
299,2020-02-17,468,1
300,2020-02-24,465,1
301,2020-03-28,429,1
302,2020-02-12,411,1
303,2020-03-04,463,1
304,2020-03-27,506,1
305,2020-02-22,448,1
306,2020-02-19,364,1
307,2020-02-14,426,1
308,2020-01-02,429,1
309,2020-01-03,514,1
310,2020-03-03,469,1
311,2020-02-24,466,1
312,2020-03-20,383,1
313,2020-03-21,506,1
314,2020-01-18,413,1
315,2020-01-10,489,1
316,2020-03-20,426,1
317,2020-02-20,469,1
318,2020-01-25,510,1
319,2020-03-25,459,1
320,2020-01-26,425,1
321,2020-03-14,399,1
322,2020-02-08,425,1
323,2020-02-11,454,1
324,2020-02-27,512,1
325,2020-02-20,397,1
326,2020-01-19,401,1
327,2020-02-20,350,1
328,2020-01-12,412,1
329,2020-03-16,481,1
330,2020-01-07,436,1
331,2020-02-12,444,1
332,2020-01-10,374,1
333,2020-02-01,463,1
334,2020-01-25,567,1
335,2020-02-14,457,1
336,2020-02-09,387,1
337,2020-01-04,387,1
338,2020-03-25,452,1
339,2020-01-10,374,1
340,2020-03-10,482,1
341,2020-03-20,403,1
342,2020-02-24,432,1
343,2020-01-22,479,1
344,2020-02-17,448,1
345,2020-02-14,510,1
346,2020-02-23,447,1
347,2020-02-25,406,1
348,2020-02-12,424,1
349,2020-01-24,405,1
350,2020-03-04,400,1
351,2020-03-05,412,1
352,2020-01-07,572,1
353,2020-01-19,392,1
354,2020-01-22,545,1
355,2020-01-16,473,1
356,2020-01-11,472,1
357,2020-01-25,398,1
358,2020-03-06,461,1
359,2020-03-23,444,1
360,2020-03-16,457,1
361,2020-03-02,471,1
362,2020-02-28,465,1
363,2020-03-27,444,1
364,2020-02-09,479,1
365,2020-02-22,446,1
366,2020-01-15,409,1
367,2020-03-29,457,1
368,2020-01-21,444,1
369,2020-03-19,431,1
370,2020-02-10,443,1
371,2020-02-01,462,1
372,2020-02-04,499,1
373,2020-01-03,432,1
374,2020-01-14,450,1
375,2020-01-23,485,1
376,2020-03-16,390,1
377,2020-01-06,412,1
378,2020-01-07,418,1
379,2020-02-25,486,1
380,2020-03-28,390,1
381,2020-02-25,483,1
382,2020-02-28,494,1
383,2020-02-13,448,1
384,2020-03-24,398,1
385,2020-03-28,549,1
386,2020-01-30,461,1
387,2020-01-29,442,1
388,2020-03-27,512,1
389,2020-03-28,444,1
390,2020-02-29,491,1
391,2020-03-23,503,1
392,2020-01-30,440,1
393,2020-03-28,470,1
394,2020-01-14,505,1
395,2020-01-16,506,1
396,2020-02-27,503,1
397,2020-03-01,432,1
398,2020-02-13,401,1
399,2020-02-06,470,1
400,2020-01-25,456,1
401,2020-01-24,424,1
402,2020-02-25,486,1
403,2020-01-07,415,1
404,2020-03-19,506,1
405,2020-02-29,461,1
406,2020-02-27,421,1
407,2020-01-13,485,1
408,2020-03-19,456,1
409,2020-01-03,485,1
410,2020-01-10,463,1
411,2020-01-27,529,1
412,2020-03-24,425,1
413,2020-01-29,523,1
414,2020-02-18,457,1
415,2020-01-30,514,1
416,2020-01-03,455,1
417,2020-01-08,424,1
418,2020-02-24,497,1
419,2020-03-08,493,1
420,2020-01-23,473,1
421,2020-01-04,451,1
422,2020-03-15,452,1
423,2020-01-06,426,1
424,2020-01-29,489,1
425,2020-03-05,440,1
426,2020-01-19,416,1
427,2020-01-22,463,1
428,2020-02-07,458,1
429,2020-01-12,380,1
430,2020-03-11,420,1
431,2020-03-29,465,1
432,2020-03-07,448,1
433,2020-02-03,465,1
434,2020-02-28,433,1
435,2020-03-25,412,1
436,2020-03-13,525,1
437,2020-03-22,447,1
438,2020-03-12,492,1
439,2020-03-04,506,1
440,2020-03-24,439,1
441,2020-01-29,458,1
442,2020-01-04,420,1
443,2020-03-10,451,1
444,2020-03-25,380,1
445,2020-01-21,551,1
446,2020-02-16,432,1
447,2020-03-09,477,1
448,2020-02-06,389,1
449,2020-01-24,505,1
450,2020-01-18,411,1
451,2020-01-12,448,1
452,2020-02-04,525,1
453,2020-03-01,441,1
454,2020-03-20,515,1
455,2020-02-22,408,1
456,2020-02-25,503,1
457,2020-01-31,445,1
458,2020-01-12,377,1
459,2020-02-09,411,1
460,2020-02-11,483,1
461,2020-03-16,454,1
462,2020-02-02,528,1
463,2020-02-04,418,1
464,2020-01-15,409,1
465,2020-03-12,456,1
466,2020-02-01,396,1
467,2020-02-21,421,1
468,2020-03-25,477,1
469,2020-03-31,458,1
470,2020-01-17,452,1
471,2020-01-02,481,1
472,2020-02-07,503,1
473,2020-01-20,335,1
474,2020-03-11,436,1
475,2020-03-07,429,1
476,2020-03-18,407,1
477,2020-03-22,527,1
478,2020-03-23,487,1
479,2020-02-22,404,1
480,2020-03-08,414,1
481,2020-01-07,474,1
482,2020-01-14,421,1
483,2020-03-02,436,1
484,2020-03-17,408,1
485,2020-03-30,410,1
486,2020-03-29,411,1
487,2020-01-31,431,1
488,2020-01-17,444,1
489,2020-02-21,414,1
490,2020-01-02,466,1
491,2020-02-17,376,1
492,2020-01-31,507,1
493,2020-03-05,468,1
494,2020-01-22,404,1
495,2020-03-05,554,1
496,2020-03-08,480,1
497,2020-01-11,508,1
498,2020-03-31,472,1
499,2020-01-30,518,1
500,2020-02-07,450,1
501,2020-03-18,418,1
502,2020-02-25,415,1
503,2020-02-29,443,1
504,2020-03-08,488,1
505,2020-02-14,426,1
506,2020-01-18,452,1
507,2020-02-27,494,1
508,2020-01-20,451,1
509,2020-02-12,482,1
510,2020-02-27,497,1
511,2020-02-17,430,1
512,2020-02-15,418,1
513,2020-02-18,407,1
514,2020-02-12,465,1
515,2020-01-04,505,1
516,2020-02-15,416,1
517,2020-03-07,443,1
518,2020-02-29,519,1
519,2020-02-01,448,1
520,2020-01-18,517,1
521,2020-02-14,407,1
522,2020-03-23,475,1
523,2020-02-01,479,1
524,2020-01-13,380,1
525,2020-03-03,463,1
526,2020-02-04,369,1
527,2020-03-09,449,1
528,2020-03-19,417,1
529,2020-03-02,428,1
530,2020-01-23,462,1
531,2020-01-02,455,1
532,2020-01-29,432,1
533,2020-01-26,398,1
534,2020-03-25,463,1
535,2020-03-09,383,1
536,2020-01-09,485,1
537,2020-03-02,380,1
538,2020-01-22,460,1
539,2020-03-20,411,1
540,2020-01-26,423,1
541,2020-02-26,440,1
542,2020-03-30,504,1
543,2020-03-29,485,1
544,2020-01-06,403,1
545,2020-02-13,456,1
546,2020-01-31,535,1
547,2020-03-16,448,1
548,2020-02-22,524,1
549,2020-03-13,454,1
550,2020-01-25,437,1
551,2020-03-31,476,1
552,2020-01-16,406,1
553,2020-03-16,495,1
554,2020-02-11,419,1
555,2020-02-16,463,1
556,2020-01-31,414,1
557,2020-03-06,490,1
558,2020-02-07,420,1
559,2020-03-14,509,1
560,2020-01-06,452,1
561,2020-03-20,369,1
562,2020-03-23,331,1
563,2020-01-23,471,1
564,2020-02-18,563,1
565,2020-01-01,475,1
566,2020-01-19,435,1
567,2020-03-15,440,1
568,2020-03-24,397,1
569,2020-03-16,513,1
570,2020-01-25,417,1
571,2020-01-12,464,1
572,2020-01-18,349,1
573,2020-02-20,374,1
574,2020-03-18,463,1
575,2020-01-29,498,1
576,2020-03-09,388,1
577,2020-01-17,384,1
578,2020-02-14,483,1
579,2020-02-28,471,1
580,2020-01-08,447,1
581,2020-03-03,455,1
582,2020-01-09,502,1
583,2020-01-01,435,1
584,2020-01-16,505,1
585,2020-02-08,486,1
586,2020-02-13,474,1
587,2020-01-16,452,1
588,2020-03-29,444,1
589,2020-01-05,475,1
590,2020-02-13,535,1
591,2020-02-05,412,1
592,2020-02-14,441,1
593,2020-01-16,408,1
594,2020-02-10,517,1
595,2020-01-21,496,1
596,2020-03-29,498,1
597,2020-03-03,378,1
598,2020-02-07,457,1
599,2020-03-18,413,1
600,2020-03-05,527,1
601,2020-01-31,426,1
602,2020-01-29,441,1
603,2020-03-27,436,1
604,2020-03-26,547,1
605,2020-02-13,461,1
606,2020-01-22,431,1
607,2020-01-19,485,1
608,2020-02-29,494,1
609,2020-03-12,443,1
610,2020-01-07,391,1
611,2020-02-05,426,1
612,2020-02-09,573,1
613,2020-01-12,445,1
614,2020-03-19,471,1
615,2020-01-26,494,1
616,2020-01-31,549,1
617,2020-01-27,506,1
618,2020-01-02,427,1
619,2020-03-26,443,1
620,2020-01-10,474,1
621,2020-03-07,437,1
622,2020-02-23,506,1
623,2020-01-12,424,1
624,2020-02-24,412,1
625,2020-02-22,436,1
626,2020-01-04,395,1
627,2020-01-17,497,1
628,2020-02-09,481,1
629,2020-02-05,448,1
630,2020-02-25,476,1
631,2020-02-14,454,1
632,2020-03-16,473,1
633,2020-03-06,421,1
634,2020-01-24,435,1
635,2020-02-16,509,1
636,2020-02-27,454,1
637,2020-02-13,413,1
638,2020-02-03,401,1
639,2020-03-12,410,1
640,2020-03-02,463,1
641,2020-01-27,477,1
642,2020-02-27,506,1
643,2020-02-15,446,1
644,2020-03-30,483,1
645,2020-01-06,439,1
646,2020-02-25,476,1
647,2020-01-16,448,1
648,2020-03-22,508,1
649,2020-01-11,458,1
650,2020-02-13,526,1
651,2020-03-11,520,1
652,2020-02-24,479,1
653,2020-01-26,505,1
654,2020-01-31,463,1
655,2020-03-14,491,1
656,2020-02-27,432,1
657,2020-03-22,492,1
658,2020-03-12,387,1
659,2020-03-17,428,1
660,2020-01-25,451,1
661,2020-01-21,426,1
662,2020-03-06,438,1
663,2020-01-18,475,1
664,2020-01-21,456,1
665,2020-01-15,395,1
666,2020-01-16,429,1
667,2020-03-30,435,1
668,2020-01-19,419,1
669,2020-03-08,472,1
670,2020-02-27,450,1
671,2020-02-13,396,1
672,2020-02-06,469,1
673,2020-01-08,484,1
674,2020-01-22,517,1
675,2020-01-27,530,1
676,2020-01-25,443,1
677,2020-01-18,474,1
678,2020-03-14,405,1
679,2020-03-01,443,1
680,2020-01-13,477,1
681,2020-03-04,441,1
682,2020-03-19,490,1
683,2020-03-31,418,1
684,2020-01-03,539,1
685,2020-02-03,464,1
686,2020-02-26,434,1
687,2020-01-13,410,1
688,2020-03-31,607,1
689,2020-02-03,530,1
690,2020-01-02,529,1
691,2020-02-17,397,1
692,2020-01-25,420,1
693,2020-03-24,469,1
694,2020-02-28,508,1
695,2020-03-15,499,1
696,2020-01-25,443,1
697,2020-02-24,450,1
698,2020-01-27,457,1
699,2020-03-28,473,1
700,2020-03-09,477,1
701,2020-01-20,466,1
702,2020-03-15,518,1
703,2020-03-15,533,1
704,2020-01-05,459,1
705,2020-03-07,408,1
706,2020-03-22,447,1
707,2020-01-25,478,1
708,2020-02-11,484,1
709,2020-03-01,498,1
710,2020-03-14,505,1
711,2020-03-27,409,1
712,2020-02-02,418,1
713,2020-01-09,469,1
714,2020-02-19,447,1
715,2020-03-03,410,1
716,2020-03-31,405,1
717,2020-02-07,389,1
718,2020-01-04,507,1
719,2020-03-22,456,1
720,2020-03-11,411,1
721,2020-01-01,534,1
722,2020-03-04,415,1
723,2020-03-27,436,1
724,2020-02-02,424,1
725,2020-03-02,486,1
726,2020-01-07,398,1
727,2020-01-08,492,1
728,2020-03-21,439,1
729,2020-02-13,441,1
730,2020-03-21,497,1
731,2020-02-12,430,1
732,2020-01-18,454,1
733,2020-03-29,495,1
734,2020-03-26,464,1
735,2020-01-16,435,1
736,2020-02-17,436,1
737,2020-01-15,425,1
738,2020-02-15,470,1
739,2020-03-04,464,1
740,2020-01-20,419,1
741,2020-03-21,484,1
742,2020-03-16,443,1
743,2020-02-11,447,1
744,2020-02-04,430,1
745,2020-03-04,468,1
746,2020-03-14,480,1
747,2020-02-07,476,1
748,2020-02-07,478,1
749,2020-03-23,456,1
750,2020-02-05,382,1
751,2020-01-12,474,1
752,2020-01-06,472,1
753,2020-01-01,443,1
754,2020-01-04,455,1
755,2020-02-29,505,1
756,2020-01-31,508,1
757,2020-01-06,429,1
758,2020-01-17,511,1
759,2020-03-05,610,1
760,2020-01-18,406,1
761,2020-01-14,513,1
762,2020-01-27,580,1
763,2020-03-15,428,1
764,2020-01-25,468,1
765,2020-03-06,411,1
766,2020-03-17,424,1
767,2020-03-02,472,1
768,2020-02-13,439,1
769,2020-01-17,477,1
770,2020-03-21,559,1
771,2020-01-26,439,1
772,2020-03-29,446,1
773,2020-01-13,468,1
774,2020-03-15,430,1
775,2020-02-03,473,1
776,2020-03-25,382,1
777,2020-02-19,452,1
778,2020-03-15,489,1
779,2020-02-16,464,1
780,2020-02-09,468,1
781,2020-03-03,489,1
782,2020-03-24,472,1
783,2020-03-02,490,1
784,2020-01-14,421,1
785,2020-03-30,487,1
786,2020-02-11,460,1
787,2020-03-09,523,1
788,2020-03-12,494,1
789,2020-02-11,404,1
790,2020-01-17,390,1
791,2020-01-18,485,1
792,2020-02-24,433,1
793,2020-02-11,469,1
794,2020-01-06,465,1
795,2020-03-04,436,1
796,2020-01-02,430,1
797,2020-02-26,454,1
798,2020-03-30,467,1
799,2020-03-28,389,1
800,2020-02-06,392,1
801,2020-03-22,465,1
802,2020-03-02,458,1
803,2020-01-10,412,1
804,2020-02-28,490,1
805,2020-03-25,414,1
806,2020-03-27,469,1
807,2020-03-17,435,1
808,2020-02-29,508,1
809,2020-03-10,431,1
810,2020-03-04,378,1
811,2020-01-09,522,1
812,2020-03-30,448,1
813,2020-01-02,461,1
814,2020-03-29,432,1
815,2020-02-02,372,1
816,2020-02-12,473,1
817,2020-01-06,469,1
818,2020-02-21,464,1
819,2020-03-03,415,1
820,2020-03-24,458,1
821,2020-01-01,542,1
822,2020-02-15,443,1
823,2020-03-19,452,1
824,2020-02-06,414,1
825,2020-01-25,457,1
826,2020-03-04,432,1
827,2020-03-05,482,1
828,2020-02-22,547,1
829,2020-03-20,510,1
830,2020-01-12,397,1
831,2020-03-24,531,1
832,2020-01-09,456,1
833,2020-03-17,425,1
834,2020-02-17,457,1
835,2020-01-08,496,1
836,2020-02-05,472,1
837,2020-03-25,374,1
838,2020-01-10,369,1
839,2020-01-01,490,1
840,2020-02-28,437,1
841,2020-03-01,478,1
842,2020-03-02,482,1
843,2020-03-31,497,1
844,2020-03-08,432,1
845,2020-01-20,481,1
846,2020-01-29,473,1
847,2020-01-28,488,1
848,2020-01-24,383,1
849,2020-01-30,573,1
850,2020-01-21,541,1
851,2020-01-07,487,1
852,2020-01-27,463,1
853,2020-02-05,487,1
854,2020-01-07,509,1
855,2020-02-02,416,1
856,2020-03-09,439,1
857,2020-01-16,439,1
858,2020-03-15,452,1
859,2020-02-17,500,1
860,2020-01-17,468,1
861,2020-01-19,479,1
862,2020-02-18,414,1
863,2020-01-12,468,1
864,2020-02-16,448,1
865,2020-01-15,461,1
866,2020-01-25,399,1
867,2020-01-03,482,1
868,2020-02-06,386,1
869,2020-02-21,380,1
870,2020-02-10,446,1
871,2020-01-17,386,1
872,2020-03-14,504,1
873,2020-03-31,417,1
874,2020-02-11,442,1
875,2020-01-13,442,1
876,2020-03-23,473,1
877,2020-02-11,436,1
878,2020-01-08,429,1
879,2020-01-02,490,1
880,2020-02-21,451,1
881,2020-01-10,520,1
882,2020-03-07,505,1
883,2020-03-17,503,1
884,2020-01-04,436,1
885,2020-01-29,479,1
886,2020-01-13,467,1
887,2020-03-21,461,1
888,2020-02-14,382,1
889,2020-03-29,520,1
890,2020-02-19,439,1
891,2020-01-10,447,1
892,2020-01-05,416,1
893,2020-01-08,508,1
894,2020-01-08,448,1
895,2020-01-23,469,1
896,2020-01-14,547,1
897,2020-01-03,481,1
898,2020-02-23,438,1
899,2020-01-08,423,1
900,2020-03-28,407,1
901,2020-03-31,485,1
902,2020-03-07,441,1
903,2020-01-06,427,1
904,2020-01-07,436,1
905,2020-03-13,514,1
906,2020-01-31,461,1
907,2020-03-19,456,1
908,2020-01-10,528,1
909,2020-01-08,421,1
910,2020-02-16,472,1
911,2020-03-12,451,1
912,2020-03-24,473,1
913,2020-02-03,415,1
914,2020-01-31,458,1
915,2020-03-04,407,1
916,2020-02-12,396,1
917,2020-01-18,395,1
918,2020-02-24,520,1
919,2020-02-27,472,1
920,2020-03-30,506,1
921,2020-03-27,428,1
922,2020-01-09,427,1
923,2020-02-07,466,1
924,2020-03-05,544,1
925,2020-03-06,476,1
926,2020-01-08,389,1
927,2020-02-21,433,1
928,2020-03-10,378,1
929,2020-03-09,455,1
930,2020-03-02,376,1
931,2020-01-29,448,1
932,2020-01-21,420,1
933,2020-01-08,432,1
934,2020-02-15,483,1
935,2020-01-31,483,1
936,2020-02-04,379,1
937,2020-01-25,418,1
938,2020-02-04,419,1
939,2020-03-26,509,1
940,2020-01-09,500,1
941,2020-01-13,481,1
942,2020-01-11,429,1
943,2020-01-11,453,1
944,2020-03-09,482,1
945,2020-02-10,489,1
946,2020-03-02,572,1
947,2020-01-11,453,1
948,2020-02-21,458,1
949,2020-03-03,405,1
950,2020-01-17,518,1
951,2020-01-20,473,1
952,2020-03-29,483,1
953,2020-01-03,440,1
954,2020-03-07,452,1
955,2020-02-17,433,1
956,2020-01-08,422,1
957,2020-01-15,524,1
958,2020-03-04,551,1
959,2020-01-22,447,1
960,2020-03-06,507,1
961,2020-01-20,498,1
962,2020-01-07,479,1
963,2020-01-27,419,1
964,2020-01-28,458,1
965,2020-03-01,421,1
966,2020-02-16,487,1
967,2020-02-29,353,1
968,2020-03-20,462,1
969,2020-02-05,508,1
970,2020-03-15,507,1
971,2020-02-29,484,1
972,2020-01-03,463,1
973,2020-01-23,597,1
974,2020-02-20,468,1
975,2020-03-03,521,1
976,2020-03-10,426,1
977,2020-01-26,435,1
978,2020-03-31,506,1
979,2020-03-20,445,1
980,2020-02-13,459,1
981,2020-01-14,519,1
982,2020-02-25,446,1
983,2020-03-09,462,1
984,2020-02-24,457,1
985,2020-03-11,472,1
986,2020-02-15,521,1
987,2020-01-06,473,1
988,2020-01-03,407,1
989,2020-01-24,484,1
990,2020-02-25,425,1
991,2020-02-18,424,1
992,2020-01-19,455,1
993,2020-03-25,459,1
994,2020-02-16,478,1
995,2020-01-28,420,1
996,2020-01-31,502,1
997,2020-02-12,438,1
998,2020-02-29,429,1
999,2020-01-18,369,1
1000,2020-02-10,492,1
1001,2020-01-18,471,1
1002,2020-01-05,468,1
1003,2020-03-21,425,1
1004,2020-03-30,391,1
1005,2020-02-23,439,1
1006,2020-03-13,498,1
1007,2020-02-22,465,1
1008,2020-02-18,527,1
1009,2020-02-12,449,1
1010,2020-01-17,442,1
1011,2020-01-14,458,1
1012,2020-02-02,515,1
1013,2020-02-13,421,1
1014,2020-02-13,415,1
1015,2020-01-02,428,1
1016,2020-02-23,520,1
1017,2020-03-31,448,1
1018,2020-03-24,418,1
1019,2020-01-22,431,1
1020,2020-03-15,450,1
1021,2020-01-25,446,1
1022,2020-01-27,440,1
1023,2020-01-28,442,1
1024,2020-02-02,465,1
1025,2020-02-01,441,1
1026,2020-03-08,459,1
1027,2020-02-03,436,1
1028,2020-02-11,465,1
1029,2020-03-17,446,1
1030,2020-03-22,453,1
1031,2020-02-22,522,1
1032,2020-03-27,590,1
1033,2020-01-06,487,1
1034,2020-02-20,419,1
1035,2020-01-09,482,1
1036,2020-02-28,389,1
1037,2020-02-20,426,1
1038,2020-03-02,437,1
1039,2020-01-31,395,1
1040,2020-03-20,423,1
1041,2020-03-24,475,1
1042,2020-03-16,470,1
1043,2020-01-30,415,1
1044,2020-02-05,377,1
1045,2020-01-25,440,1
1046,2020-02-25,432,1
1047,2020-01-23,446,1
1048,2020-03-18,460,1
1049,2020-01-24,482,1
1050,2020-02-21,470,1
1051,2020-02-09,407,1
1052,2020-03-25,432,1
1053,2020-03-12,437,1
1054,2020-02-06,523,1
1055,2020-03-24,412,1
1056,2020-02-16,482,1
1057,2020-03-31,511,1
1058,2020-03-28,449,1
1059,2020-02-07,420,1
1060,2020-01-17,400,1
1061,2020-01-14,447,1
1062,2020-02-03,503,1
1063,2020-03-14,474,1
1064,2020-03-27,436,1
1065,2020-01-20,446,1
1066,2020-01-31,436,1
1067,2020-01-18,462,1
1068,2020-02-27,487,1
1069,2020-03-07,408,1
1070,2020-01-01,435,1
